,Location,Borough,Postcode,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
117,Queen's Park,Brent,NW6,51.541870000000074,-0.1979499999999348,0,Bakery,Café,Pub,Park,Coffee Shop,Movie Theater,Thai Restaurant,Gym / Fitness Center,Pizza Place,Restaurant
118,Queensbury,Harrow,HA3,51.50642000000005,-0.1272099999999341,0,Hotel,Bookstore,Clothing Store,Theater,Plaza,Indian Restaurant,Steakhouse,Cocktail Bar,Lounge,History Museum
119,Queensbury,Brent,HA3,51.50642000000005,-0.1272099999999341,0,Hotel,Bookstore,Clothing Store,Theater,Plaza,Indian Restaurant,Steakhouse,Cocktail Bar,Lounge,History Museum
120,Raynes Park,Merton,SW20,51.41117000000003,-0.22622999999993,0,Park,Korean Restaurant,Pub,Tennis Court,Café,Sushi Restaurant,Tennis Stadium,Italian Restaurant,Supermarket,Gym
121,Roehampton,Wandsworth,SW15,51.457550000000026,-0.21844999999996162,1,Park,Café,Coffee Shop,Pub,Pizza Place,Tennis Court,Grocery Store,Tennis Stadium,Italian Restaurant,Gym
122,Selhurst,Croydon,SE25,51.39925000000005,-0.07413999999994303,1,Pub,Grocery Store,Park,Coffee Shop,Café,Italian Restaurant,Gastropub,Gym / Fitness Center,Fast Food Restaurant,Pizza Place
123,Shooter's Hill,Greenwich,SE18,51.48207000000008,0.07143000000002075,0,Grocery Store,Pub,Park,Café,Coffee Shop,Gym / Fitness Center,Bakery,Italian Restaurant,Discount Store,Clothing Store
124,Silvertown,Newham,E16,51.50913000000003,0.015280000000075233,0,Hotel,Coffee Shop,Park,Pub,Italian Restaurant,Gym / Fitness Center,Bar,Turkish Restaurant,Scenic Lookout,English Restaurant
125,Snaresbrook,Redbridge,E11,51.576760000000036,0.027230000000031396,1,Pub,Grocery Store,Coffee Shop,Pizza Place,Café,Restaurant,Park,Supermarket,Bakery,Brewery
126,Snaresbrook,Waltham Forest,E11,51.576760000000036,0.027230000000031396,1,Pub,Grocery Store,Coffee Shop,Pizza Place,Café,Restaurant,Park,Supermarket,Bakery,Brewery
127,South Norwood,Croydon,SE25,51.39925000000005,-0.07413999999994303,1,Pub,Grocery Store,Park,Coffee Shop,Café,Italian Restaurant,Gastropub,Gym / Fitness Center,Fast Food Restaurant,Pizza Place
